ID_REF,log2FC,pvalue,padj
2320067,0.04857026619580453,0.20835702694901184,
2320068,-0.006378889384616529,0.6035059850881095,
2320069,-0.015137141289406991,0.2756164344388067,
2320070,-0.029648408010886928,0.11245829462759685,
2320071,-0.023218169114454616,0.6112523884275877,
2320075,-0.014348100619387414,0.560336800455514,
2320077,0.010665315955288456,0.8696168993352305,
2320078,0.0588436698575843,0.46709902754143406,
2320088,0.0015486770397014826,0.9650251169999102,
2320090,-0.0013210969807100808,0.9751023502822179,
2320092,-0.03440497771590842,0.3140211307554226,
2320094,-0.016616431662982146,0.5649981759966336,
2320096,0.0250021676572014,0.41368362083440213,
2320098,0.04995641989861265,0.44569180330040903,
2320100,-0.026237951986835914,0.5429601989267892,
2320102,0.124948271150543,0.09465244663111402,
2320104,-0.03395270070021129,0.16058696833569394,
2320106,-0.010722465062120374,0.6068086566564426,
2320108,-0.002194225849335544,0.8882042571084695,
2320110,0.0776133914190831,0.06859257227729794,
2320112,0.12284129591887077,0.21383569077524614,
2320114,-0.2242384517908293,0.03973779209624388,
2320116,0.0572897744788266,0.8471675798320535,
2320118,-0.07221416174460711,0.7165170150094646,
2320120,0.05332502279346929,0.34289023993846557,
2320122,0.09526589922486337,0.4140466061354202,
2320124,0.017625419330337583,0.24076635923251044,
2320126,-0.0424818993001517,0.14460802114315557,
2320128,-0.02041749007881399,0.8845137893866529,
2320130,-0.013440748407733885,0.8199002057513118,
2320132,-0.03228294079637348,0.812851500635366,
2320134,-0.0575375343972973,0.5866241373559006,
2320136,-0.0017252112228670858,0.9297840656135588,
2320138,0.004066534325305466,0.8293345990274228,
2320140,-0.09979578232138571,0.3135993119039352,
2320142,0.005712125517104565,0.6428020867527322,
2320144,-0.04235943318996862,0.6181622061597437,
2320146,0.09735742870083461,0.5201786501361497,
2320148,-0.018484667142150944,0.45499746143142106,
2320150,-0.012022144174253681,0.32965538717909537,
2320188,-0.0276765781154945,0.35891165049979956,
2320210,-0.0045702083696696465,0.7626894014996037,
2320347,0.005876554420876266,0.7366222047619375,
2320374,0.011356492014229997,0.7572315409977457,
2320392,0.0028048262060056746,0.926077334690816,
